Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786970816,1500,,Aggregated,51.900000,0.000000,4600,9500,13000,17000,27000,36000,43000,48000,58000,61000,61000,5967,1938,4600,10446.558856761936,265.80219995230436,61365.26130000129,164.61253561253562
1786970817,1500,,Aggregated,54.100000,0.000000,4800,9600,14000,17000,27000,36000,44000,49000,59000,62000,62000,6042,1938,4700,10609.199336361902,265.80219995230436,62415.77540000435,165.50943396226415
1786970818,1500,,Aggregated,59.300000,0.000000,4900,9700,14000,17000,28000,37000,45000,50000,59000,62000,62000,6129,1938,4900,10793.615416087223,265.80219995230436,62415.77540000435,166.74367759830315
1786970819,1500,,Aggregated,59.300000,0.000000,5000,9900,14000,17000,28000,37000,46000,51000,59000,69000,69000,6173,1938,5000,10897.79986293513,265.80219995230436,68888.7838999508,167.5434958691074
1786970820,1500,,Aggregated,63.200000,0.000000,5200,10000,15000,18000,28000,37000,46000,52000,62000,71000,71000,6255,1938,5200,11039.193493732753,265.80219995230436,71205.23220003815,168.70359712230217
1786970821,1500,,Aggregated,63.300000,0.000000,5300,10000,15000,18000,29000,38000,47000,52000,63000,71000,71000,6326,1938,5300,11156.273161808154,265.80219995230436,71205.23220003815,169.56734113183686
1786970822,1500,,Aggregated,62.200000,0.000000,5400,10000,15000,18000,29000,38000,47000,53000,65000,71000,71000,6397,1938,5400,11269.902876770122,265.80219995230436,71205.23220003815,170.15944974206658
1786970823,1500,,Aggregated,66.900000,0.000000,5500,10000,15000,18000,29000,39000,48000,53000,66000,71000,71000,6475,1938,5500,11376.33305825458,265.80219995230436,71205.23220003815,171.50177606177607
1786970824,1500,,Aggregated,66.800000,0.000000,5600,10000,15000,18000,29000,39000,48000,53000,66000,71000,71000,6501,1938,5600,11398.198949207555,265.80219995230436,71205.23220003815,171.66051376711275
1786970825,1500,,Aggregated,67.500000,0.000000,5600,10000,15000,18000,30000,39000,48000,53000,66000,71000,71000,6530,1938,5600,11458.44561041324,265.80219995230436,71205.23220003815,171.8874425727412
1786970826,1500,,Aggregated,69.300000,0.000000,5600,11000,15000,19000,30000,39000,49000,54000,67000,73000,73000,6576,1938,5600,11555.721081264928,265.80219995230436,73255.1426999853,172.15860705596108
1786970827,1500,,Aggregated,65.200000,0.000000,5700,11000,15000,19000,30000,39000,49000,54000,67000,73000,73000,6601,1938,5700,11589.949513921842,265.80219995230436,73255.1426999853,172.4852295106802
1786970828,1500,,Aggregated,60.300000,0.000000,5800,11000,16000,19000,30000,40000,50000,54000,67000,78000,78000,6649,1938,5800,11679.379367784324,265.80219995230436,78355.08710000431,173.18318544141977
1786970829,1500,,Aggregated,58.300000,0.000000,6000,11000,16000,19000,30000,40000,50000,55000,69000,78000,78000,6726,1938,6000,11754.832852794798,265.80219995230436,78355.08710000431,174.03389830508473
1786970830,1500,,Aggregated,51.200000,0.000000,6100,11000,16000,19000,31000,40000,51000,56000,69000,78000,78000,6807,1938,6100,11907.97779507831,265.80219995230436,78355.08710000431,174.95240193918025
1786970831,1500,,Aggregated,52.900000,0.000000,6200,11000,16000,19000,31000,41000,52000,57000,71000,78000,78000,6886,1938,6200,12069.69108549204,265.80219995230436,78355.08710000431,175.80656404298577
1786970832,1500,,Aggregated,54.400000,0.000000,6300,11000,16000,20000,32000,41000,52000,58000,73000,78000,78000,6966,1938,6300,12231.669934223108,265.80219995230436,78355.08710000431,176.3841515934539
1786970833,1500,,Aggregated,54.700000,0.000000,6400,11000,16000,20000,32000,41000,53000,59000,75000,84000,84000,7044,1938,6300,12302.65294610993,265.80219995230436,83595.7496999763,177.09057353776262
1786970834,1500,,Aggregated,55.700000,0.000000,6400,12000,17000,20000,32000,42000,53000,59000,76000,84000,84000,7114,1938,6400,12405.42602160504,265.80219995230436,83595.7496999763,177.75442788867022
1786970835,1500,,Aggregated,58.200000,0.000000,6500,12000,17000,20000,32000,42000,53000,59000,76000,84000,84000,7152,1938,6500,12468.622781976848,265.80219995230436,83595.7496999763,177.98420022371366
1786970836,1500,,Aggregated,59.300000,0.000000,6600,12000,17000,20000,32000,42000,54000,60000,76000,88000,88000,7221,1938,6600,12569.060754188957,265.80219995230436,88264.53260000562,178.4752804320731
1786970837,1500,,Aggregated,63.400000,0.000000,6700,12000,17000,21000,33000,43000,54000,61000,78000,89000,89000,7304,1938,6700,12711.91714372925,265.80219995230436,89189.64810000034,179.10049288061336
1786970838,1500,,Aggregated,63.400000,0.000000,6800,12000,17000,21000,33000,43000,55000,62000,78000,89000,89000,7375,1938,6800,12812.208191999842,265.80219995230436,89189.64810000034,179.65369491525425
1786970839,1500,,Aggregated,67.000000,0.000000,6800,12000,17000,21000,33000,43000,55000,62000,78000,89000,89000,7419,1938,6800,12845.14254224273,265.80219995230436,89189.64810000034,179.76371478635934
1786970840,1500,,Aggregated,73.200000,0.000000,6800,12000,17000,21000,33000,43000,56000,63000,78000,89000,89000,7498,1938,6800,12934.986388196698,265.80219995230436,89189.64810000034,181.10056014937317
1786970841,1500,,Aggregated,70.200000,0.000000,6900,12000,17000,21000,33000,43000,56000,63000,78000,89000,89000,7512,1938,6900,12946.876182987055,265.80219995230436,89189.64810000034,181.19302449414272
1786970842,1500,,Aggregated,71.900000,0.000000,6900,12000,17000,21000,33000,44000,56000,63000,79000,89000,89000,7534,1938,6900,12976.361947398284,265.80219995230436,89189.64810000034,181.26413591717548
1786970843,1500,,Aggregated,65.100000,0.000000,6900,12000,17000,21000,33000,44000,56000,63000,79000,89000,89000,7546,1938,6900,12981.76658259987,265.80219995230436,89189.64810000034,181.3183143387225
1786970844,1500,,Aggregated,59.200000,0.000000,6900,12000,18000,21000,33000,44000,56000,64000,79000,89000,89000,7601,1939,6900,13051.763536573922,265.80219995230436,89189.64810000034,181.12485199315879
1786970845,1500,,Aggregated,53.400000,0.000000,7000,13000,18000,22000,34000,44000,57000,65000,80000,89000,89000,7676,1939,7000,13189.348982699092,265.80219995230436,89189.64810000034,181.83780614903597
1786970846,1500,,Aggregated,47.000000,0.000000,7100,13000,18000,22000,34000,45000,57000,66000,83000,93000,93000,7739,1939,7100,13334.87525836652,265.80219995230436,92737.27920005331,182.40263599948312
1786970847,1500,,Aggregated,49.000000,0.100000,7100,13000,18000,22000,34000,45000,58000,67000,84000,93000,93000,7799,1939,7100,13440.959168726526,265.80219995230436,92737.27920005331,182.82164380048724
1786970848,1500,,Aggregated,52.100000,0.100000,7200,13000,18000,22000,34000,45000,58000,67000,84000,93000,93000,7852,1939,7200,13513.858155807231,265.80219995230436,92737.27920005331,183.274197656648
1786970849,1500,,Aggregated,50.400000,0.100000,7300,13000,18000,22000,35000,46000,58000,67000,84000,93000,93000,7910,1939,7300,13582.521356434725,265.80219995230436,92737.27920005331,183.68621997471556
1786970850,1500,,Aggregated,48.200000,0.100000,7300,13000,18000,22000,35000,46000,58000,67000,84000,93000,93000,7979,1939,7300,13639.544372314638,265.80219995230436,92737.27920005331,184.1623010402306
1786970851,1500,,Aggregated,47.400000,0.100000,7400,13000,18000,23000,35000,46000,59000,68000,84000,93000,93000,8049,1939,7400,13742.51513483643,265.80219995230436,92737.27920005331,184.68753882469872
1786970852,1500,,Aggregated,44.300000,0.100000,7400,13000,19000,23000,35000,46000,59000,69000,84000,93000,93000,8091,1939,7400,13795.625956309315,265.80219995230436,92737.27920005331,185.0462241997281
1786970853,1500,,Aggregated,50.900000,0.100000,7500,14000,19000,23000,35000,46000,59000,69000,88000,102000,102000,8182,1939,7500,13884.94553070134,265.80219995230436,101505.59670000803,185.514666340748
1786970854,1500,,Aggregated,54.900000,0.100000,7500,14000,19000,23000,35000,46000,59000,69000,88000,102000,102000,8238,1939,7500,13943.30675445475,265.80219995230436,101505.59670000803,186.05717407137655
1786970855,1500,,Aggregated,59.400000,0.100000,7600,14000,19000,23000,35000,47000,60000,70000,89000,102000,102000,8318,1939,7600,14012.04660863168,265.80219995230436,101505.59670000803,186.48112527049773
1786970856,1500,,Aggregated,65.100000,0.100000,7600,14000,19000,23000,36000,47000,60000,71000,89000,102000,102000,8392,1939,7600,14088.14309070524,265.80219995230436,101505.59670000803,187.18458055290753
1786970857,1500,,Aggregated,63.800000,0.000000,7700,14000,19000,23000,36000,47000,60000,71000,91000,102000,102000,8433,1939,7700,14139.416700106529,265.80219995230436,101505.59670000803,187.50017787264318
1786970858,1500,,Aggregated,64.200000,0.000000,7700,14000,19000,23000,36000,47000,61000,72000,93000,103000,103000,8479,1939,7700,14200.601054829363,265.80219995230436,102975.72980000405,187.77815780162754
1786970859,1500,,Aggregated,64.400000,0.000000,7700,14000,19000,23000,36000,47000,61000,72000,93000,103000,103000,8508,1939,7700,14224.734482098977,265.80219995230436,102975.72980000405,188.01128349788434
1786970860,1500,,Aggregated,62.400000,0.000000,7700,14000,19000,23000,36000,47000,61000,72000,93000,103000,103000,8537,1939,7700,14243.91881789837,265.80219995230436,102975.72980000405,188.1293194330561
